曲A(前),曲B(後),繋ぎ公演数,全公演での発生割合,繋ぎツアー数,全ツアーでの発生割合
over driver,Master Volume,10,0.009182736455463728,4,0.0975609756097561
Tettoutetsubi Yonayona Drive,Sugar Song to Bitter Step,45,0.04132231404958678,3,0.07317073170731707
Hakoniwa Rock Show,Full Color Program,39,0.03581267217630854,3,0.07317073170731707
23:25,Linear Blue wo Kikinagara,25,0.02295684113865932,3,0.07317073170731707
Sanpo Saki My Life,MR. Andy,9,0.008264462809917356,3,0.07317073170731707
Ride on Time,Galileo no Showcase,36,0.03305785123966942,3,0.07317073170731707
Clover,Full Color Program,32,0.02938475665748393,3,0.07317073170731707
crazy birthday,Bachigai Hummingbird,15,0.013774104683195593,3,0.07317073170731707
Sakura no Ato (all quartets lead to the?),crazy birthday,16,0.014692378328741965,3,0.07317073170731707
Aerial Alien,Atorakushon ga Hajimaru (they call it “NO.6”),51,0.046831955922865015,3,0.07317073170731707
Orion wo Nazoru,Hikari Nodokeki Haru no Hi ni,34,0.031221303948576674,3,0.07317073170731707
WINDOW Akeru,Shoegazer Speaker,59,0.05417814508723599,3,0.07317073170731707
Full Color Program,23:25,16,0.014692378328741965,3,0.07317073170731707
Hakoniwa Rock Show,Galileo no Showcase,36,0.03305785123966942,3,0.07317073170731707
Counter Identity,Orion wo Nazoru,32,0.02938475665748393,3,0.07317073170731707
Seku x Kara x Shisonzuuru,flat song,31,0.028466483011937556,2,0.04878048780487805
Karakuri Karukare,Sentimental Period,20,0.018365472910927456,2,0.04878048780487805
Silent Libre Mirage,"10% roll, 10% romance",26,0.023875114784205693,2,0.04878048780487805
23:25,cody beats,5,0.004591368227731864,2,0.04878048780487805
flat song,over driver,31,0.028466483011937556,2,0.04878048780487805
Orion wo Nazoru,23:25,18,0.01652892561983471,2,0.04878048780487805
fake town baby,Tettoutetsubi Yonayona Drive,16,0.014692378328741965,2,0.04878048780487805
"10% roll, 10% romance",Cheap Cheap Endroll,50,0.04591368227731864,2,0.04878048780487805
Little Time Stop,Seku x Kara x Shisonzuuru,32,0.02938475665748393,2,0.04878048780487805
1/6 no Yume Tabibito 2002,Why I'm Me,14,0.012855831037649219,2,0.04878048780487805
Hanabi,1/6 no Yume Tabibito 2002,14,0.012855831037649219,2,0.04878048780487805
Boku wa Kimi ni Naritai,Hanabi,14,0.012855831037649219,2,0.04878048780487805
Toushindai no Chikyu,Chandelier Waltz,23,0.021120293847566574,2,0.04878048780487805
Yoru ga Yureteiru,Boku wa Kimi ni Naritai,14,0.012855831037649219,2,0.04878048780487805
Siren in the Spy,Full Color Program,14,0.012855831037649219,2,0.04878048780487805
"10% roll, 10% romance",kaleido proud fiesta,18,0.01652892561983471,2,0.04878048780487805
Galileo no Showcase,Sora no Tobikata,7,0.006427915518824609,2,0.04878048780487805
Sentimental Period,Galileo no Showcase,33,0.030303030303030304,2,0.04878048780487805
Tengoku to Jigoku,"Catch up, latency",6,0.005509641873278237,2,0.04878048780487805
Deirai Kyousou Gakudan,Full Color Program,10,0.009182736455463728,2,0.04878048780487805
Tengoku to Jigoku,mix juice no Iutouri,37,0.03397612488521579,2,0.04878048780487805
Phantom Joke,Instrumental Jam,42,0.03856749311294766,2,0.04878048780487805
Sugar Song to Bitter Step,Bachigai Hummingbird,51,0.046831955922865015,2,0.04878048780487805
Tettoutetsubi Yonayona Drive,Chaos ga Kiwamaru,35,0.03213957759412305,2,0.04878048780487805
Pandemic Sudden Death,Tettoutetsubi Yonayona Drive,25,0.02295684113865932,2,0.04878048780487805
3 minutes replay,"kid, I like quartet",26,0.023875114784205693,2,0.04878048780487805
Linear Blue wo Kikinagara,Atorakushon ga Hajimaru (they call it “NO.6”),4,0.0036730945821854912,2,0.04878048780487805
Invisible Sensation,Tengoku to Jigoku,5,0.004591368227731864,2,0.04878048780487805
Sakura no Ato (all quartets lead to the?),Cheap Cheap Endroll,4,0.0036730945821854912,2,0.04878048780487805
"Majority Report (darling, I love you)","Minority Report (darling, I love you)",48,0.0440771349862259,2,0.04878048780487805
Tettoutetsubi Yonayona Drive,23:25,37,0.03397612488521579,2,0.04878048780487805
Galileo no Showcase,Airabuniju,4,0.0036730945821854912,2,0.04878048780487805
Ride on Time,Counter Identity,12,0.011019283746556474,2,0.04878048780487805
Full Color Program,MR. Andy,35,0.03213957759412305,2,0.04878048780487805
Childhood Supernova,"kid, I like quartet",5,0.004591368227731864,2,0.04878048780487805
Hakoniwa Rock Show,cody beats,15,0.013774104683195593,2,0.04878048780487805
Pistol Galaxy,Gyakuten Sayonara,31,0.028466483011937556,2,0.04878048780487805
"kid, I like quartet",MR. Andy,29,0.02662993572084481,2,0.04878048780487805
23:25,"Majority Report (darling, I love you)",9,0.008264462809917356,2,0.04878048780487805
over driver,Pistol Galaxy,32,0.02938475665748393,2,0.04878048780487805
Sugar Song to Bitter Step,Orion wo Nazoru,12,0.011019283746556474,2,0.04878048780487805
Gyakuten Sayonara,Boku wa Kimi ni Naritai,31,0.028466483011937556,2,0.04878048780487805
Boku wa Kimi ni Naritai,Snow Loop,31,0.028466483011937556,2,0.04878048780487805
Bachigai Hummingbird,Linear Blue wo Kikinagara,23,0.021120293847566574,2,0.04878048780487805
Messenger From Zen Sekai,23:25,12,0.011019283746556474,2,0.04878048780487805
Kimi wa Tomodachi,Ride on Time,25,0.02295684113865932,2,0.04878048780487805
Chandelier Waltz,Kimi wa Tomodachi,25,0.02295684113865932,2,0.04878048780487805
Linear Blue wo Kikinagara,Chandelier Waltz,27,0.024793388429752067,2,0.04878048780487805
Nonfiction Compass,Sangatsu Monogatari,25,0.02295684113865932,2,0.04878048780487805
Sangatsu Monogatari,Mikazuki no Yoru no Mannaka,25,0.02295684113865932,2,0.04878048780487805
"kid, I like quartet",Linear Blue wo Kikinagara,25,0.02295684113865932,2,0.04878048780487805
crazy birthday,"kid, I like quartet",25,0.02295684113865932,2,0.04878048780487805
like coffee no Omajinai,crazy birthday,25,0.02295684113865932,2,0.04878048780487805
Bachigai Hummingbird,like coffee no Omajinai,25,0.02295684113865932,2,0.04878048780487805
Kimi no Hitomi ni Koishi Tenai,Galileo no Showcase,16,0.014692378328741965,2,0.04878048780487805
Full Color Program,Bachigai Hummingbird,20,0.018365472910927456,2,0.04878048780487805
to the CIDER ROAD,Tameiki shooting the MOON,26,0.023875114784205693,2,0.04878048780487805
Tameiki shooting the MOON,cody beats,25,0.02295684113865932,2,0.04878048780487805
cody beats,Love Song wa Totsuzen ni? ~What is the name of that mystery??~,25,0.02295684113865932,2,0.04878048780487805
Love Song wa Totsuzen ni? ~What is the name of that mystery??~,Serenade ga Tomaranai,25,0.02295684113865932,2,0.04878048780487805
Serenade ga Tomaranai,Miss. Sandy,25,0.02295684113865932,2,0.04878048780487805
Miss. Sandy,Counter Identity,25,0.02295684113865932,2,0.04878048780487805
