曲A,曲B,演奏公演数,全公演割合,演奏ツアー数,全ツアー割合
Sakura no Ato (all quartets lead to the?),Tettoutetsubi Yonayona Drive,194,0.1781450872359963,14,0.34146341463414637
23:25,Full Color Program,111,0.10192837465564739,13,0.3170731707317073
23:25,Bachigai Hummingbird,149,0.13682277318640956,13,0.3170731707317073
Bachigai Hummingbird,Orion wo Nazoru,253,0.23232323232323232,13,0.3170731707317073
Full Color Program,cody beats,120,0.11019283746556474,13,0.3170731707317073
Sugar Song to Bitter Step,Tettoutetsubi Yonayona Drive,183,0.16804407713498623,12,0.2926829268292683
Bachigai Hummingbird,Chandelier Waltz,225,0.2066115702479339,12,0.2926829268292683
Full Color Program,Galileo no Showcase,241,0.22130394857667585,12,0.2926829268292683
Bachigai Hummingbird,Full Color Program,147,0.1349862258953168,12,0.2926829268292683
Bachigai Hummingbird,"kid, I like quartet",136,0.1248852157943067,11,0.2682926829268293
Bachigai Hummingbird,Galileo no Showcase,164,0.15059687786960516,11,0.2682926829268293
Chandelier Waltz,Orion wo Nazoru,199,0.1827364554637282,11,0.2682926829268293
Orion wo Nazoru,Sakura no Ato (all quartets lead to the?),199,0.1827364554637282,11,0.2682926829268293
Full Color Program,Hakoniwa Rock Show,103,0.0945821854912764,11,0.2682926829268293
Bachigai Hummingbird,Tettoutetsubi Yonayona Drive,143,0.13131313131313133,10,0.24390243902439024
23:25,"kid, I like quartet",93,0.08539944903581267,10,0.24390243902439024
Chandelier Waltz,Tettoutetsubi Yonayona Drive,180,0.1652892561983471,10,0.24390243902439024
23:25,Tettoutetsubi Yonayona Drive,99,0.09090909090909091,10,0.24390243902439024
Bachigai Hummingbird,Sakura no Ato (all quartets lead to the?),214,0.19651056014692378,10,0.24390243902439024
Galileo no Showcase,"kid, I like quartet",95,0.08723599632690542,10,0.24390243902439024
Chandelier Waltz,Full Color Program,97,0.08907254361799816,10,0.24390243902439024
Full Color Program,Orion wo Nazoru,120,0.11019283746556474,10,0.24390243902439024
Galileo no Showcase,Master Volume,135,0.12396694214876033,10,0.24390243902439024
23:25,Galileo no Showcase,110,0.10101010101010101,10,0.24390243902439024
Chandelier Waltz,"kid, I like quartet",125,0.1147842056932966,10,0.24390243902439024
Full Color Program,Ride on Time,85,0.0780532598714417,9,0.21951219512195122
23:25,Chandelier Waltz,119,0.10927456382001836,9,0.21951219512195122
Chandelier Waltz,Sugar Song to Bitter Step,184,0.1689623507805326,9,0.21951219512195122
Counter Identity,Full Color Program,87,0.07988980716253444,9,0.21951219512195122
Galileo no Showcase,cody beats,99,0.09090909090909091,9,0.21951219512195122
Full Color Program,"kid, I like quartet",88,0.08080808080808081,9,0.21951219512195122
Full Color Program,Master Volume,131,0.12029384756657484,9,0.21951219512195122
Clover,Full Color Program,131,0.12029384756657484,9,0.21951219512195122
Hakoniwa Rock Show,Orion wo Nazoru,129,0.1184573002754821,9,0.21951219512195122
Tengoku to Jigoku,Tettoutetsubi Yonayona Drive,125,0.1147842056932966,9,0.21951219512195122
23:25,Karakuri Karukare,77,0.0707070707070707,9,0.21951219512195122
23:25,Sakura no Ato (all quartets lead to the?),90,0.08264462809917356,9,0.21951219512195122
23:25,Orion wo Nazoru,111,0.10192837465564739,9,0.21951219512195122
Hakoniwa Rock Show,cody beats,68,0.06244260789715335,9,0.21951219512195122
Sakura no Ato (all quartets lead to the?),Sugar Song to Bitter Step,229,0.21028466483011937,9,0.21951219512195122
Full Color Program,Sora no Tobikata,56,0.051423324150596875,9,0.21951219512195122
Orion wo Nazoru,Tettoutetsubi Yonayona Drive,132,0.12121212121212122,9,0.21951219512195122
Galileo no Showcase,Hakoniwa Rock Show,144,0.1322314049586777,9,0.21951219512195122
Bachigai Hummingbird,Hakoniwa Rock Show,130,0.11937557392102846,9,0.21951219512195122
Full Color Program,MR. Andy,182,0.16712580348943984,8,0.1951219512195122
Galileo no Showcase,MR. Andy,220,0.20202020202020202,8,0.1951219512195122
Galileo no Showcase,Orion wo Nazoru,108,0.09917355371900827,8,0.1951219512195122
Sugar Song to Bitter Step,Tengoku to Jigoku,176,0.16161616161616163,8,0.1951219512195122
Full Color Program,Sanpo Saki My Life,118,0.10835629017447199,8,0.1951219512195122
Chandelier Waltz,Sakura no Ato (all quartets lead to the?),172,0.15794306703397612,8,0.1951219512195122
Deirai Kyousou Gakudan,Full Color Program,104,0.09550045913682277,8,0.1951219512195122
Full Color Program,Karakuri Karukare,73,0.06703397612488522,8,0.1951219512195122
MR. Andy,Sora no Tobikata,42,0.03856749311294766,8,0.1951219512195122
Chandelier Waltz,Hakoniwa Rock Show,132,0.12121212121212122,8,0.1951219512195122
Kimi no Hitomi ni Koishi Tenai,Sakura no Ato (all quartets lead to the?),105,0.09641873278236915,8,0.1951219512195122
Linear Blue wo Kikinagara,Tettoutetsubi Yonayona Drive,89,0.08172635445362718,8,0.1951219512195122
Orion wo Nazoru,"kid, I like quartet",132,0.12121212121212122,8,0.1951219512195122
23:25,Master Volume,87,0.07988980716253444,8,0.1951219512195122
Bachigai Hummingbird,cody beats,85,0.0780532598714417,8,0.1951219512195122
23:25,cody beats,69,0.06336088154269973,8,0.1951219512195122
Counter Identity,cody beats,74,0.06795224977043159,8,0.1951219512195122
Bachigai Hummingbird,crazy birthday,108,0.09917355371900827,8,0.1951219512195122
Airabuniju,Full Color Program,46,0.04224058769513315,8,0.1951219512195122
Chandelier Waltz,Linear Blue wo Kikinagara,117,0.10743801652892562,8,0.1951219512195122
Galileo no Showcase,Ride on Time,85,0.0780532598714417,8,0.1951219512195122
23:25,MR. Andy,128,0.11753902662993572,8,0.1951219512195122
Master Volume,Sora no Tobikata,48,0.0440771349862259,8,0.1951219512195122
23:25,Scarsdale,97,0.08907254361799816,7,0.17073170731707318
23:25,Sora no Tobikata,43,0.03948576675849403,7,0.17073170731707318
Haru ga Kite Bokura,Sugar Song to Bitter Step,127,0.11662075298438934,7,0.17073170731707318
Bachigai Hummingbird,Clover,80,0.07346189164370982,7,0.17073170731707318
Full Color Program,Sentimental Period,129,0.1184573002754821,7,0.17073170731707318
Master Volume,"kid, I like quartet",54,0.049586776859504134,7,0.17073170731707318
MR. Andy,Master Volume,123,0.11294765840220386,7,0.17073170731707318
Orion wo Nazoru,cody beats,72,0.06611570247933884,7,0.17073170731707318
Galileo no Showcase,Karakuri Karukare,106,0.09733700642791551,7,0.17073170731707318
23:25,Toushindai no Chikyu,47,0.04315886134067952,7,0.17073170731707318
Atorakushon ga Hajimaru (they call it “NO.6”),Tettoutetsubi Yonayona Drive,80,0.07346189164370982,7,0.17073170731707318
Kimi no Hitomi ni Koishi Tenai,Sugar Song to Bitter Step,125,0.1147842056932966,7,0.17073170731707318
Atorakushon ga Hajimaru (they call it “NO.6”),Sakura no Ato (all quartets lead to the?),101,0.09274563820018365,7,0.17073170731707318
Counter Identity,"kid, I like quartet",56,0.051423324150596875,7,0.17073170731707318
Bachigai Hummingbird,Sugar Song to Bitter Step,177,0.162534435261708,7,0.17073170731707318
Bachigai Hummingbird,Counter Identity,77,0.0707070707070707,7,0.17073170731707318
Bachigai Hummingbird,Toushindai no Chikyu,87,0.07988980716253444,7,0.17073170731707318
Counter Identity,Hakoniwa Rock Show,45,0.04132231404958678,7,0.17073170731707318
Bachigai Hummingbird,to the CIDER ROAD,94,0.08631772268135904,7,0.17073170731707318
Ride on Time,cody beats,65,0.05968778696051423,7,0.17073170731707318
Bachigai Hummingbird,Linear Blue wo Kikinagara,102,0.09366391184573003,7,0.17073170731707318
Galileo no Showcase,Toushindai no Chikyu,77,0.0707070707070707,7,0.17073170731707318
Otonoba Chukan Shiken,Sugar Song to Bitter Step,141,0.12947658402203857,7,0.17073170731707318
23:25,Messenger From Zen Sekai,55,0.050505050505050504,7,0.17073170731707318
Counter Identity,Galileo no Showcase,88,0.08080808080808081,7,0.17073170731707318
Full Color Program,Toushindai no Chikyu,48,0.0440771349862259,7,0.17073170731707318
Sanpo Saki My Life,cody beats,65,0.05968778696051423,7,0.17073170731707318
MR. Andy,Sentimental Period,182,0.16712580348943984,7,0.17073170731707318
Galileo no Showcase,Sora no Tobikata,53,0.048668503213957756,7,0.17073170731707318
Sora no Tobikata,cody beats,47,0.04315886134067952,7,0.17073170731707318
Master Volume,cody beats,64,0.05876951331496786,7,0.17073170731707318
Invisible Sensation,Sugar Song to Bitter Step,139,0.12764003673094582,7,0.17073170731707318
23:25,Sanpo Saki My Life,55,0.050505050505050504,7,0.17073170731707318
MR. Andy,Sanpo Saki My Life,121,0.1111111111111111,7,0.17073170731707318
Tettoutetsubi Yonayona Drive,crazy birthday,73,0.06703397612488522,7,0.17073170731707318
Instrumental Jam,Sugar Song to Bitter Step,82,0.07529843893480258,7,0.17073170731707318
23:25,Tengoku to Jigoku,78,0.07162534435261708,7,0.17073170731707318
Linear Blue wo Kikinagara,Sakura no Ato (all quartets lead to the?),80,0.07346189164370982,7,0.17073170731707318
