Song,MB_Track_Name,Duration_sec,First_Release_Date,Album_Name,Primary_Type,ISRC,MBID
kaleido proud fiesta,kaleido proud fiesta,221.7,2022-04-13,"SUB MACHINE, BEST MACHINE (Best Selected Edition)",Album,JPTF02204301,cff9da5b-3522-4ac2-8458-9e0d1ce1a1ab
オリオンをなぞる,オリオンをなぞる,268.0,2017-08-09,"10% roll, 10% romance",Single,JPTF01709406,4b6ce3a1-7d6c-481c-b7f0-81ad7a8e4294
君の瞳に恋してない,君の瞳に恋してない,253.0,2018-01-24,UNISON SQUARE GARDEN The 1st Collection for streaming,Album,JPTF01720808,ceab492e-7f15-405e-a792-e9aabd586860
Invisible Sensation,Invisible Sensation,251.0,2019-10-11,Phantom Joke,Single,JPTF01913803,fe04997f-8e0d-473b-881c-b9af0d188c18
傍若のカリスマ,傍若のカリスマ,265.0,2024-10-02,傍若のカリスマ,Single,JPTF02426701,51003d1e-3a2d-4298-be6c-e33ccade3051
恋する惑星,恋する惑星,230.1,2023-04-12,Ninth Peel,Album,JPTF02305202,ed1f7b4c-0917-4b98-bf04-f3057d2555ab
fake town baby,fake town baby,270.0,2018-11-07,"Catch up, latency",Single,JPTF01817907,7317a814-dda7-4fd9-a7d0-8097e492055f
カオスが極まる,カオスが極まる,230.6,2022-10-19,Ninth Peel,Album,JPTF02222001,acb37aec-b2db-42fb-9cef-657120b824db
天国と地獄,天国と地獄,232.0,2017-11-15,fake town baby,Single,JPTF01714409,a496ae22-0458-41ca-9f59-eda85bb4ced4
シュガーソングとビターステップ,シュガーソングとビターステップ,282.0,2016-07-06,Dr.Izzy,Album,JPTF01608008,12c5a9be-2f6c-4621-b8f4-0f75afe846bd
23:25,23:25,304.1,2025-03-26,"20th Anniversary LIVE ""ROCK BAND is fun"" 2024.07.24 / ""オーケストラを観にいこう"" 2024.07.25 at Nippon Budokan",Other,なし,ef0514aa-f77f-4155-8051-e5bd7d82b324
フライデイノベルス,フライデイノベルス,194.1,2016-07-06,Dr.Izzy,Album,JPTF01607809,dd5bef82-de34-4d02-84ea-5560002aa790
Phantom Joke,Phantom Joke,242.5,2019-10-11,UNISON SQUARE GARDEN The 1st Collection for streaming,Album,JPTF01913701,16b0ad65-a196-41e4-a1c2-5b0a980591bd
Cheap Cheap Endroll,Cheap Cheap Endroll,134.9,2016-07-06,Dr.Izzy,Album,JPTF01607811,8377d0ae-c302-4ee3-accc-4433c55a7046
サイレンインザスパイ,サイレンインザスパイ,174.1,2014-08-27,Catcher In The Spy,Album,JPTF01410201,269fdeb1-f239-439c-b7e7-d706d937660f
mix juiceのいうとおり,mix juiceのいうとおり,289.2,2016-07-06,UNISON SQUARE GARDEN The 1st Collection for streaming,Album,JPTF01607810,5352c096-c6be-4b4b-9621-3f90ba309726
Silent Libre Mirage,Silent Libre Mirage,232.2,2017-02-05,UNISON SQUARE GARDEN The 1st Collection for streaming,Album,JPTF01700101,381e214c-ff92-4006-bb3e-6ec4e0fb2630
世界はファンシー,世界はファンシー,204.3,2020-09-30,Patrick Vegee,Album,JPTF02011106,f43c17cb-61d1-4498-a034-666e722ef3d4
春が来てぼくら,春が来てぼくら,284.0,2018-03-07,Patrick Vegee,Album,JPTF01802301,87352089-efa2-477e-bf50-2e257b5a5141
サンタクロースは渋滞中,サンタクロースは渋滞中,168.0,2017-11-08,Bee side Sea side 〜B‐Side Collection Album〜,Album,JPTF01714103,95b4824f-ed36-4d4d-8f15-f2fb08765347
オトノバ中間試験,オトノバ中間試験,286.0,2016-07-06,Dr.Izzy,Album,JPTF01607907,27f10be5-619d-4f88-beac-8eabe64db0ba
3 minutes replay,3 minutes replay,180.5,2011-07-06,Populus Populus,Album,JPTF01103601,baea741c-9214-4a4d-91e8-5d351598d3b4
"kid, I like quartet","kid, I like quartet",275.5,2011-07-06,Populus Populus,Album,JPTF01103602,5ac6a4ef-4875-4efc-8bd4-cbcd720e3a61
アトラクションがはじまる（they call it “NO.6”）,アトラクションがはじまる(they call it “NO.6”),239.0,2022-10-19,カオスが極まる,Single,なし,d8452098-6a63-4763-811c-decf7edea5e3
like coffeeのおまじない,like coffeeのおまじない,234.0,2013-02-06,CIDER ROAD,Album,JPTF01219503,cb75f6f0-28cc-4ac0-85d2-13c308075a9e
City peel,City peel,252.0,2023-04-12,Ninth Peel,Album,JPTF02305204,1a9e3a90-619d-4c2c-b6d8-67fdec05fbc9
憂鬱はプリンセス,憂鬱はプリンセス,189.0,2024-10-02,傍若のカリスマ,Single,JPTF02426702,6de9a2fc-0849-4bce-a906-cfc29101f1ef
WINDOW開ける,WINDOW開ける,279.9,2009-04-15,UNISON SQUARE GARDEN,Album,JPTF00900606,be09cbb5-6f01-4eb3-a142-866ce27a57a8
harmonized finale,harmonized finale,315.2,2014-02-05,UNISON SQUARE GARDEN The 1st Collection for streaming,Album,JPTF01319301,d0ed09b3-a1f0-4661-acf0-0994b56f0680
Instrumental Jam,未発見,不明,不明,不明,不明,なし,
Simple Simple Anecdote,Simple Simple Anecdote,134.5,2020-09-30,Patrick Vegee,Album,JPTF02011108,da7871d4-917b-44b3-8e3d-09172751bc70
