Date,Tour,Venue,City,Order,Song
16-11-2025,No Tour Data,Hall 10,Goyang-si,1,kaleido proud fiesta
16-11-2025,No Tour Data,Hall 10,Goyang-si,2,Orion wo Nazoru
16-11-2025,No Tour Data,Hall 10,Goyang-si,3,Kimi no Hitomi ni Koishi Tenai
16-11-2025,No Tour Data,Hall 10,Goyang-si,4,Invisible Sensation
16-11-2025,No Tour Data,Hall 10,Goyang-si,5,Boujaku no Charisma
16-11-2025,No Tour Data,Hall 10,Goyang-si,6,Koisuru Wakusei
16-11-2025,No Tour Data,Hall 10,Goyang-si,7,fake town baby
16-11-2025,No Tour Data,Hall 10,Goyang-si,8,Chaos ga Kiwamaru
16-11-2025,No Tour Data,Hall 10,Goyang-si,9,Tengoku to Jigoku
16-11-2025,No Tour Data,Hall 10,Goyang-si,10,Sugar Song to Bitter Step
22-06-2025,No Tour Data,SKY STAGE,Nagakute,1,Tengoku to Jigoku
22-06-2025,No Tour Data,SKY STAGE,Nagakute,2,23:25
22-06-2025,No Tour Data,SKY STAGE,Nagakute,3,Chaos ga Kiwamaru
22-06-2025,No Tour Data,SKY STAGE,Nagakute,4,Friday Novels
22-06-2025,No Tour Data,SKY STAGE,Nagakute,5,Phantom Joke
22-06-2025,No Tour Data,SKY STAGE,Nagakute,6,Boujaku no Charisma
22-06-2025,No Tour Data,SKY STAGE,Nagakute,7,Sugar Song to Bitter Step
22-06-2025,No Tour Data,SKY STAGE,Nagakute,8,Cheap Cheap Endroll
16-04-2025,No Tour Data,Diamond Hall,Nagoya,1,Siren in the Spy
16-04-2025,No Tour Data,Diamond Hall,Nagoya,2,Tengoku to Jigoku
16-04-2025,No Tour Data,Diamond Hall,Nagoya,3,Orion wo Nazoru
16-04-2025,No Tour Data,Diamond Hall,Nagoya,4,Sugar Song to Bitter Step
16-04-2025,No Tour Data,Diamond Hall,Nagoya,5,mix juice no Iutouri
16-04-2025,No Tour Data,Diamond Hall,Nagoya,6,Silent Libre Mirage
16-04-2025,No Tour Data,Diamond Hall,Nagoya,7,Kimi no Hitomi ni Koishi Tenai
16-04-2025,No Tour Data,Diamond Hall,Nagoya,8,Sekai wa Fancy
16-04-2025,No Tour Data,Diamond Hall,Nagoya,9,Chaos ga Kiwamaru
16-04-2025,No Tour Data,Diamond Hall,Nagoya,10,Haru ga Kite Bokura
08-02-2025,Charisma & Princess,BLUE LIVE HIROSHIMA,Hiroshima,1,Santa Claus wa Juutai-chuu
08-02-2025,Charisma & Princess,BLUE LIVE HIROSHIMA,Hiroshima,2,Otonoba Chukan Shiken
08-02-2025,Charisma & Princess,BLUE LIVE HIROSHIMA,Hiroshima,3,Tengoku to Jigoku
08-02-2025,Charisma & Princess,BLUE LIVE HIROSHIMA,Hiroshima,4,kaleido proud fiesta
08-02-2025,Charisma & Princess,BLUE LIVE HIROSHIMA,Hiroshima,5,3 minutes replay
08-02-2025,Charisma & Princess,BLUE LIVE HIROSHIMA,Hiroshima,6,"kid, I like quartet"
08-02-2025,Charisma & Princess,BLUE LIVE HIROSHIMA,Hiroshima,7,Atorakushon ga Hajimaru (they call it “NO.6”)
08-02-2025,Charisma & Princess,BLUE LIVE HIROSHIMA,Hiroshima,8,Silent Libre Mirage
08-02-2025,Charisma & Princess,BLUE LIVE HIROSHIMA,Hiroshima,9,Sekai wa Fancy
08-02-2025,Charisma & Princess,BLUE LIVE HIROSHIMA,Hiroshima,10,like coffee no Omajinai
08-02-2025,Charisma & Princess,BLUE LIVE HIROSHIMA,Hiroshima,11,City peel
08-02-2025,Charisma & Princess,BLUE LIVE HIROSHIMA,Hiroshima,12,Yuuutsu wa Princess
08-02-2025,Charisma & Princess,BLUE LIVE HIROSHIMA,Hiroshima,13,WINDOW akeru
08-02-2025,Charisma & Princess,BLUE LIVE HIROSHIMA,Hiroshima,14,harmonized finale
08-02-2025,Charisma & Princess,BLUE LIVE HIROSHIMA,Hiroshima,15,Instrumental Jam
08-02-2025,Charisma & Princess,BLUE LIVE HIROSHIMA,Hiroshima,16,Boujaku no Charisma
08-02-2025,Charisma & Princess,BLUE LIVE HIROSHIMA,Hiroshima,17,Simple Simple Anecdote
